epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.91802,0.72475,1.46839,0.95257,0.94584,0.90726,0.96309,0.72778,0.57964,1.70681,0.82248,0.08424,0.00024,0.00024
2,10.9094,0.78596,0.90153,0.9407,0.97211,0.90551,0.97493,0.76716,0.63642,1.34787,0.88457,0.0674909,0.000490916,0.000490916
3,14.7904,0.76579,0.83284,0.95692,0.88629,0.91108,0.95739,0.7683,0.61268,0.86367,0.84807,0.0507376,0.000737625,0.000737625
4,18.622,0.73596,0.74724,0.95318,0.95202,0.90909,0.96483,0.74101,0.59952,0.70616,0.86386,0.0339801,0.000980126,0.000980126
5,22.4878,0.69446,0.7254,0.94213,0.91566,0.93506,0.96677,0.77175,0.62499,0.84085,0.86483,0.0172184,0.00121842,0.00121842
6,26.3445,0.70958,0.75272,0.96016,0.95876,0.90586,0.97477,0.79988,0.57585,0.72954,0.85467,0.00143812,0.00143812,0.00143812
7,30.2001,0.68337,0.69517,0.93894,0.9866,0.95636,0.99054,0.77852,0.62383,0.64094,0.8572,0.00142575,0.00142575,0.00142575
8,34.065,0.71375,0.69209,0.95417,0.99533,0.94805,0.98873,0.80054,0.61335,0.60595,0.86894,0.00141338,0.00141338,0.00141338
9,37.9299,0.71946,0.67201,0.95251,1,0.94287,0.99125,0.79136,0.61391,0.67522,0.86592,0.001401,0.001401,0.001401
10,41.7621,0.66751,0.64973,0.9386,0.97389,0.969,0.99314,0.80538,0.60062,0.72656,0.85241,0.00138863,0.00138863,0.00138863
11,45.6767,0.68065,0.63046,0.92863,0.96452,0.97403,0.99195,0.80588,0.6064,0.69365,0.86093,0.00137625,0.00137625,0.00137625
12,49.6051,0.65631,0.63817,0.91677,0.97379,0.96487,0.99074,0.79126,0.68357,0.65031,0.89879,0.00136388,0.00136388,0.00136388
13,53.5566,0.64973,0.62697,0.93994,0.99529,0.96104,0.99101,0.79992,0.6491,0.61892,0.8715,0.0013515,0.0013515,0.0013515
14,57.5047,0.61901,0.58371,0.91732,0.96161,0.97602,0.99097,0.80496,0.58108,0.56847,0.85789,0.00133912,0.00133912,0.00133912
15,61.5518,0.59894,0.5735,0.89985,0.99752,0.97403,0.99256,0.82178,0.5429,0.51382,0.8345,0.00132675,0.00132675,0.00132675
16,65.5429,0.60192,0.55448,0.90334,1,0.95672,0.99292,0.82301,0.60457,0.54961,0.86645,0.00131438,0.00131438,0.00131438
17,69.4994,0.57686,0.54853,0.9062,1,0.96065,0.99275,0.8163,0.58615,0.53343,0.85124,0.001302,0.001302,0.001302
18,73.5047,0.59495,0.54818,0.90579,0.99193,0.94805,0.99153,0.80966,0.58507,0.57176,0.85679,0.00128962,0.00128962,0.00128962
19,77.5123,0.59195,0.54422,0.90324,0.98507,0.96104,0.99117,0.83467,0.54519,0.54724,0.84842,0.00127725,0.00127725,0.00127725
20,81.5441,0.58266,0.53528,0.88979,0.98678,0.96915,0.99327,0.83175,0.54,0.52509,0.85032,0.00126488,0.00126488,0.00126488
21,85.5249,0.58443,0.52424,0.88375,1,0.971,0.99357,0.81341,0.5945,0.52463,0.8523,0.0012525,0.0012525,0.0012525
22,89.5069,0.56158,0.5158,0.90367,0.9964,0.96104,0.99341,0.82561,0.51595,0.46063,0.83613,0.00124012,0.00124012,0.00124012
23,93.6557,0.52906,0.51364,0.86701,0.99931,0.96104,0.99343,0.82189,0.54374,0.46939,0.84725,0.00122775,0.00122775,0.00122775
24,97.7041,0.54642,0.4972,0.89029,0.99084,0.96104,0.99287,0.8223,0.5464,0.46769,0.84384,0.00121538,0.00121538,0.00121538
25,101.802,0.52757,0.49023,0.8681,0.98681,0.97132,0.99336,0.84909,0.50638,0.43847,0.82579,0.001203,0.001203,0.001203
26,105.933,0.5479,0.48131,0.87713,0.98694,0.98124,0.99339,0.83523,0.53092,0.43861,0.83367,0.00119063,0.00119063,0.00119063
27,109.981,0.52828,0.48211,0.86748,0.9992,0.97403,0.99311,0.82587,0.53673,0.44654,0.83358,0.00117825,0.00117825,0.00117825
28,114.089,0.54626,0.4928,0.86674,0.99495,0.97403,0.99306,0.83125,0.50696,0.43522,0.83123,0.00116588,0.00116588,0.00116588
29,118.144,0.5292,0.48206,0.8747,1,0.98539,0.99328,0.83587,0.51931,0.42567,0.83942,0.0011535,0.0011535,0.0011535
30,122.178,0.51109,0.46311,0.86534,0.98685,0.97448,0.99372,0.82115,0.52013,0.45059,0.83246,0.00114112,0.00114112,0.00114112
31,126.243,0.52589,0.47786,0.87448,0.99485,0.98701,0.99417,0.81997,0.54898,0.45336,0.84224,0.00112875,0.00112875,0.00112875
