epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
32,130.289,0.53226,0.45713,0.87452,0.99912,0.98701,0.99462,0.81735,0.59742,0.45693,0.86619,0.00111638,0.00111638,0.00111638
33,134.338,0.52087,0.45646,0.88213,0.99898,0.98701,0.99487,0.80994,0.59845,0.46695,0.87173,0.001104,0.001104,0.001104
34,138.386,0.50622,0.4433,0.8712,1,0.9849,0.99487,0.81399,0.55738,0.43712,0.8481,0.00109162,0.00109162,0.00109162
35,142.485,0.52942,0.4449,0.85853,0.99912,0.97403,0.99401,0.8176,0.5207,0.43,0.83786,0.00107925,0.00107925,0.00107925
36,157.122,0.50194,0.44722,0.86574,0.98653,0.96104,0.99265,0.81641,0.51615,0.4072,0.83508,0.00106687,0.00106687,0.00106687
37,171.605,0.50686,0.44117,0.86508,0.98666,0.96083,0.99202,0.83959,0.54422,0.42227,0.84174,0.0010545,0.0010545,0.0010545
38,186.065,0.50684,0.44766,0.86655,0.98463,0.96104,0.99167,0.83451,0.54607,0.41064,0.83969,0.00104213,0.00104213,0.00104213
39,200.97,0.47064,0.42774,0.8692,0.98568,0.96104,0.99125,0.83227,0.51559,0.42527,0.83455,0.00102975,0.00102975,0.00102975
40,216.169,0.46897,0.41982,0.85421,0.98332,0.96104,0.99225,0.81953,0.5364,0.42041,0.84061,0.00101738,0.00101738,0.00101738
41,231.879,0.46675,0.41601,0.86587,0.97396,0.97139,0.99189,0.8104,0.5208,0.38706,0.83834,0.001005,0.001005,0.001005
42,246.189,0.51197,0.43315,0.87605,0.97395,0.97131,0.9923,0.82517,0.51802,0.42966,0.83687,0.000992625,0.000992625,0.000992625
43,261.282,0.47873,0.40072,0.84254,0.98661,0.95684,0.99201,0.82631,0.51212,0.38914,0.83477,0.00098025,0.00098025,0.00098025
44,275.926,0.47923,0.419,0.84958,0.98659,0.95521,0.99236,0.82214,0.53035,0.38806,0.83345,0.000967875,0.000967875,0.000967875
45,290.702,0.46588,0.42138,0.87254,0.98661,0.95697,0.99254,0.82015,0.50884,0.39871,0.83745,0.0009555,0.0009555,0.0009555
46,305.296,0.4899,0.42534,0.86495,0.97376,0.96398,0.99238,0.83601,0.46727,0.4117,0.82909,0.000943125,0.000943125,0.000943125
47,320.106,0.45927,0.40618,0.86002,0.98437,0.97403,0.99294,0.82555,0.49543,0.41442,0.83231,0.00093075,0.00093075,0.00093075
48,334.833,0.4463,0.39624,0.84545,1,0.95649,0.99334,0.83593,0.48059,0.40748,0.82952,0.000918375,0.000918375,0.000918375
49,349.11,0.45775,0.40626,0.84094,1,0.95769,0.99292,0.83475,0.55835,0.45193,0.85241,0.000906,0.000906,0.000906
50,363.573,0.43647,0.39051,0.84932,0.98683,0.97285,0.99311,0.83694,0.57477,0.46519,0.85792,0.000893625,0.000893625,0.000893625
51,378.147,0.45923,0.4013,0.8565,0.9836,0.96104,0.99202,0.83754,0.53966,0.38049,0.83082,0.00088125,0.00088125,0.00088125
52,392.707,0.45542,0.3944,0.84488,1,0.96078,0.99249,0.85825,0.5098,0.36032,0.82536,0.000868875,0.000868875,0.000868875
53,407.967,0.43976,0.38007,0.83552,0.99706,0.97403,0.99275,0.84637,0.4986,0.3683,0.82394,0.0008565,0.0008565,0.0008565
54,422.66,0.43575,0.37614,0.83657,1,0.97362,0.99278,0.83828,0.5098,0.3731,0.82631,0.000844125,0.000844125,0.000844125
55,437.578,0.41296,0.36226,0.84411,1,0.97149,0.99306,0.82124,0.53976,0.37338,0.83769,0.00083175,0.00083175,0.00083175
56,453.291,0.43554,0.37398,0.84766,1,0.97103,0.99313,0.82167,0.49913,0.36492,0.82892,0.000819375,0.000819375,0.000819375
57,467.824,0.40309,0.3533,0.83358,1,0.98209,0.99375,0.83511,0.46849,0.34488,0.82244,0.000807,0.000807,0.000807
58,482.234,0.40763,0.35029,0.83561,0.99759,0.98701,0.99385,0.83827,0.49568,0.34794,0.8295,0.000794625,0.000794625,0.000794625
59,497.078,0.4038,0.35392,0.83485,1,0.98639,0.99375,0.83647,0.49551,0.35255,0.83352,0.00078225,0.00078225,0.00078225
60,511.688,0.40467,0.34426,0.84626,0.99609,0.97403,0.99352,0.84582,0.49569,0.35262,0.83259,0.000769875,0.000769875,0.000769875
61,526.632,0.40176,0.35317,0.83829,0.99993,0.98701,0.99385,0.83373,0.53391,0.35919,0.84268,0.0007575,0.0007575,0.0007575
62,542.291,0.40592,0.35254,0.84406,1,0.98305,0.99417,0.83087,0.56229,0.37207,0.85279,0.000745125,0.000745125,0.000745125
63,557.201,0.39693,0.36229,0.82499,1,0.98587,0.99395,0.82085,0.5485,0.37927,0.8468,0.00073275,0.00073275,0.00073275
64,572.261,0.40786,0.35114,0.84253,0.9979,0.98701,0.99406,0.82922,0.51202,0.36481,0.82616,0.000720375,0.000720375,0.000720375
65,587.104,0.39763,0.34326,0.82199,1,0.98507,0.99365,0.8422,0.48261,0.36189,0.82467,0.000708,0.000708,0.000708
66,601.598,0.3987,0.34556,0.83946,0.98405,0.97403,0.99259,0.85064,0.45026,0.36709,0.81668,0.000695625,0.000695625,0.000695625
67,616.008,0.40931,0.35275,0.82386,0.98369,0.97403,0.9922,0.85991,0.44162,0.32854,0.80833,0.00068325,0.00068325,0.00068325
68,630.584,0.40742,0.34416,0.81639,0.98701,0.98652,0.99221,0.85589,0.44651,0.33636,0.81311,0.000670875,0.000670875,0.000670875
69,645.428,0.38709,0.33595,0.83915,0.98493,0.98701,0.99267,0.85185,0.42327,0.33016,0.80894,0.0006585,0.0006585,0.0006585
70,660.144,0.38721,0.32934,0.8411,1,0.98513,0.99356,0.84236,0.42271,0.34009,0.80366,0.000646125,0.000646125,0.000646125
71,675.014,0.37927,0.32316,0.82554,0.98691,0.97883,0.99298,0.83578,0.43894,0.34996,0.80188,0.00063375,0.00063375,0.00063375
72,689.675,0.38444,0.33066,0.84129,1,0.98304,0.99319,0.83569,0.48171,0.36492,0.80924,0.000621375,0.000621375,0.000621375
73,704.886,0.36948,0.32217,0.83426,1,0.9858,0.99328,0.84611,0.46487,0.33856,0.81107,0.000609,0.000609,0.000609
74,719.229,0.37413,0.3259,0.82708,0.99719,0.98701,0.99319,0.85969,0.43996,0.33287,0.80671,0.000596625,0.000596625,0.000596625
75,733.906,0.3805,0.32171,0.83518,0.99985,0.97403,0.99352,0.84894,0.46645,0.32398,0.81519,0.00058425,0.00058425,0.00058425
76,748.316,0.38122,0.32106,0.82709,0.98501,0.98701,0.99362,0.83923,0.48153,0.32662,0.81922,0.000571875,0.000571875,0.000571875
77,763.258,0.36673,0.31056,0.83375,0.97323,0.98701,0.99346,0.84317,0.48247,0.31875,0.82349,0.0005595,0.0005595,0.0005595
78,777.953,0.40306,0.33427,0.83534,0.97416,0.98701,0.99326,0.8318,0.49879,0.33477,0.8322,0.000547125,0.000547125,0.000547125
79,793.946,0.3718,0.32502,0.82946,0.987,0.98701,0.99273,0.83685,0.53978,0.35382,0.84278,0.00053475,0.00053475,0.00053475
80,809.306,0.38785,0.32432,0.82031,0.98442,0.98701,0.99222,0.82308,0.52106,0.36316,0.83291,0.000522375,0.000522375,0.000522375
81,824.233,0.37507,0.31385,0.8334,0.97998,0.98701,0.99244,0.81956,0.5029,0.35298,0.82366,0.00051,0.00051,0.00051
82,839.426,0.34952,0.30186,0.82144,0.98691,0.97895,0.99289,0.82263,0.49832,0.36347,0.82331,0.000497625,0.000497625,0.000497625
83,854.031,0.36967,0.31096,0.81975,1,0.98341,0.99375,0.83449,0.4673,0.33982,0.81367,0.00048525,0.00048525,0.00048525
84,868.763,0.34695,0.30543,0.82233,0.99913,0.98701,0.99337,0.82782,0.4746,0.31883,0.81361,0.000472875,0.000472875,0.000472875
85,883.506,0.34905,0.30314,0.82423,0.99544,0.98701,0.99328,0.83327,0.48285,0.33378,0.81529,0.0004605,0.0004605,0.0004605
86,898.283,0.34855,0.30812,0.83143,0.99754,0.98701,0.99395,0.84382,0.48189,0.32351,0.8148,0.000448125,0.000448125,0.000448125
87,913.027,0.36165,0.30139,0.83152,0.99761,0.98701,0.99428,0.85261,0.46168,0.3088,0.81154,0.00043575,0.00043575,0.00043575
88,927.934,0.35393,0.3092,0.83123,0.99701,0.98701,0.99417,0.8553,0.42918,0.3021,0.80613,0.000423375,0.000423375,0.000423375
89,942.546,0.35107,0.30373,0.82125,0.99582,0.98701,0.99395,0.85957,0.43344,0.30794,0.80671,0.000411,0.000411,0.000411
90,957.174,0.33635,0.29446,0.82938,0.98982,0.98701,0.99406,0.85266,0.42846,0.29994,0.80698,0.000398625,0.000398625,0.000398625
91,971.751,0.34492,0.29298,0.82108,1,0.98259,0.99406,0.85279,0.47249,0.32428,0.82009,0.00038625,0.00038625,0.00038625
92,986.037,0.36054,0.30102,0.82173,0.97695,0.98701,0.99343,0.85592,0.46855,0.33281,0.81995,0.000373875,0.000373875,0.000373875
93,1000.85,0.34268,0.29173,0.81341,0.98046,0.98701,0.9932,0.85414,0.44795,0.32174,0.81397,0.0003615,0.0003615,0.0003615
94,1015.16,0.34779,0.29174,0.82299,0.98076,0.98701,0.9933,0.85278,0.44676,0.30259,0.81474,0.000349125,0.000349125,0.000349125
95,1030.01,0.31623,0.27861,0.81736,0.98103,0.98701,0.99341,0.84942,0.44973,0.29922,0.81697,0.00033675,0.00033675,0.00033675
96,1045.08,0.32331,0.28748,0.8274,0.97827,0.98701,0.99341,0.85198,0.45161,0.30336,0.81745,0.000324375,0.000324375,0.000324375
97,1059.74,0.34049,0.29029,0.82204,0.97111,0.98701,0.99352,0.85583,0.4513,0.3015,0.81408,0.000312,0.000312,0.000312
